season_year,DJF_year_label,ONI_DJF,ENSO_phase
1980,1981,-0.26,Neutral
1981,1982,-0.05,Neutral
1982,1983,2.18,El Niño
1983,1984,-0.6,La Niña
1984,1985,-1.04,La Niña
1985,1986,-0.49,Neutral
1986,1987,1.23,El Niño
1987,1988,0.81,El Niño
1988,1989,-1.69,La Niña
1989,1990,0.14,Neutral
1990,1991,0.41,Neutral
1991,1992,1.71,El Niño
1992,1993,0.09,Neutral
1993,1994,0.06,Neutral
1994,1995,0.96,El Niño
1995,1996,-0.9,La Niña
1996,1997,-0.5,La Niña
1997,1998,2.24,El Niño
1998,1999,-1.55,La Niña
1999,2000,-1.66,La Niña
2000,2001,-0.68,La Niña
2001,2002,-0.15,Neutral
2002,2003,0.92,El Niño
2003,2004,0.37,Neutral
2004,2005,0.64,El Niño
2005,2006,-0.85,La Niña
2006,2007,0.66,El Niño
2007,2008,-1.64,La Niña
2008,2009,-0.85,La Niña
2009,2010,1.5,El Niño
2010,2011,-1.31,La Niña
2011,2012,-0.72,La Niña
2012,2013,-0.29,Neutral
2013,2014,-0.28,Neutral
2014,2015,0.69,El Niño
2015,2016,2.63,El Niño
2016,2017,-0.19,Neutral
2017,2018,-0.77,La Niña
2018,2019,0.89,El Niño
2019,2020,0.64,El Niño
2020,2021,-0.91,La Niña
2021,2022,-0.82,La Niña
2022,2023,-0.54,La Niña
2023,2024,1.92,El Niño
